,sector,instrument,policy_country_iso_code,year
3,BuildingsSector,Market-basedInstruments,2,2007
4,BuildingsSector,VoluntaryApproaches,8,2007
5,ElectricitySector,CodesStandards,11,2007
6,ElectricitySector,DirectInvestment,11,2007
7,ElectricitySector,FiscalFinancialIncentives,14,2007
8,ElectricitySector,Market-basedInstruments,5,2007
9,ElectricitySector,VoluntaryApproaches,6,2007
10,GeneralSector,CodesStandards,8,2007
11,GeneralSector,DirectInvestment,6,2007
12,GeneralSector,FiscalFinancialIncentives,5,2007
13,GeneralSector,Market-basedInstruments,4,2007
14,GeneralSector,VoluntaryApproaches,4,2007
15,IndustrySector,CodesStandards,13,2007
16,IndustrySector,DirectInvestment,5,2007
17,IndustrySector,FiscalFinancialIncentives,11,2007
18,IndustrySector,Market-basedInstruments,3,2007
19,IndustrySector,VoluntaryApproaches,7,2007
20,LandSector,CodesStandards,9,2007
21,LandSector,DirectInvestment,5,2007
22,LandSector,FiscalFinancialIncentives,9,2007
23,LandSector,VoluntaryApproaches,3,2007
24,TransportSector,CodesStandards,12,2007
25,TransportSector,DirectInvestment,8,2007
26,TransportSector,FiscalFinancialIncentives,12,2007
27,TransportSector,Market-basedInstruments,2,2007
28,TransportSector,VoluntaryApproaches,3,2007
0,BuildingsSector,CodesStandards,16,2008
1,BuildingsSector,DirectInvestment,8,2008
2,BuildingsSector,FiscalFinancialIncentives,12,2008
3,BuildingsSector,Market-basedInstruments,2,2008
4,BuildingsSector,VoluntaryApproaches,8,2008
5,ElectricitySector,CodesStandards,13,2008
6,ElectricitySector,DirectInvestment,11,2008
7,ElectricitySector,FiscalFinancialIncentives,15,2008
8,ElectricitySector,Market-basedInstruments,5,2008
9,ElectricitySector,VoluntaryApproaches,6,2008
10,GeneralSector,CodesStandards,8,2008
11,GeneralSector,DirectInvestment,6,2008
12,GeneralSector,FiscalFinancialIncentives,5,2008
13,GeneralSector,Market-basedInstruments,4,2008
14,GeneralSector,VoluntaryApproaches,4,2008
15,IndustrySector,CodesStandards,14,2008
16,IndustrySector,DirectInvestment,5,2008
17,IndustrySector,FiscalFinancialIncentives,12,2008
18,IndustrySector,Market-basedInstruments,3,2008
19,IndustrySector,VoluntaryApproaches,7,2008
20,LandSector,CodesStandards,9,2008
21,LandSector,DirectInvestment,5,2008
22,LandSector,FiscalFinancialIncentives,9,2008
23,LandSector,Market-basedInstruments,1,2008
24,LandSector,VoluntaryApproaches,4,2008
25,TransportSector,CodesStandards,13,2008
26,TransportSector,DirectInvestment,9,2008
27,TransportSector,FiscalFinancialIncentives,13,2008
28,TransportSector,Market-basedInstruments,2,2008
29,TransportSector,VoluntaryApproaches,4,2008
0,BuildingsSector,CodesStandards,16,2009
1,BuildingsSector,DirectInvestment,9,2009
2,BuildingsSector,FiscalFinancialIncentives,13,2009
3,BuildingsSector,Market-basedInstruments,3,2009
4,BuildingsSector,VoluntaryApproaches,10,2009
5,ElectricitySector,CodesStandards,14,2009
6,ElectricitySector,DirectInvestment,12,2009
7,ElectricitySector,FiscalFinancialIncentives,15,2009
8,ElectricitySector,Market-basedInstruments,6,2009
9,ElectricitySector,VoluntaryApproaches,6,2009
10,GeneralSector,CodesStandards,8,2009
11,GeneralSector,DirectInvestment,8,2009
12,GeneralSector,FiscalFinancialIncentives,7,2009
13,GeneralSector,Market-basedInstruments,5,2009
